INDUSTRY,SATIS,CONFIRM,IDEAL,OVERALLX,CUSTOMX,WRONGX,OVERALLQ,CUSTOMQ,WRONGQ,PQ,QP,COMP,HANDLE,REPUR,HIGHPTOL,LOWPTOL,AGE,EDUCAT,HISPANIC,RACE_1,INCOME,GENDER,ZIPCODE
Commercial Airlines,Satisfied,Exceeded expectations,Close to ideal,Very high,Very well,Very often,High,Very well,Often,Good,Good,No,NoComp,Likely,High,Unknown,Senior,Post graduate,0,1,<20,1,2
Commercial Airlines,Satisfied,Met expectations,Far from ideal,High,Well,Rarely,High,Well,Very often,Good,Good,No,NoComp,Likely,Low,Unknown,Middle-aged,Post graduate,0,1,<20,1,2
Commercial Airlines,Very satisfied,Far exceeded,Close to ideal,Moderate,Adequately,Often,Very high,Very well,Sometimes,Very good,Very good,No,NoComp,Very likely,Low,Unknown,Young,associate degree,0,1,<20,2,2
Commercial Airlines,Unsure,Exceeded expectations,Somewhat close,High,Well,Often,High,Well,Often,Good,Good,No,NoComp,Possible,High,Unknown,Middle-aged,College graduate,0,1,<20,2,2
Commercial Airlines,Dissatisfied,Below expectations,Far from ideal,Low,Adequately,Sometimes,Moderate,Somewhat well,Sometimes,Average,Average,No,NoComp,Possible,Unknown,High,Middle-aged,College graduate,0,4,<20,1,1
Commercial Airlines,Unsure,Met expectations,Moderately close,High,Well,Sometimes,Moderate,Adequately,Sometimes,Average,Average,Yes,Somewhat poorly,Likely,Medium,Unknown,Young,College graduate,0,1,<20,2,2
Commercial Airlines,Dissatisfied,Slightly better,Somewhat close,Moderate,Well,Very rarely,Moderate,Adequately,Rarely,Below average,Below average,No,NoComp,Likely,Low,Unknown,Middle-aged,Post graduate,0,1,<20,1,1
Commercial Airlines,Dissatisfied,Slightly better,Close to ideal,Moderate,Somewhat well,Often,Low,Somewhat well,Very often,Below average,Good,No,NoComp,Unlikely,Unknown,High,Young,associate degree,0,2,<20,2,Unknown
Commercial Airlines,Unsure,Met expectations,Somewhat close,High,Adequately,Rarely,High,Adequately,Sometimes,Average,Good,No,NoComp,Possible,High,Unknown,Middle-aged,College graduate,0,1,<20,1,2
Commercial Airlines,Unsure,Met expectations,Somewhat close,Moderate,Adequately,Often,High,Well,Often,Below average,Average,No,NoComp,Very unlikely,Unknown,High,Young,Post graduate,0,4,<20,2,2
Commercial Airlines,Unsure,Met expectations,Somewhat close,High,Adequately,Often,High,Adequately,Sometimes,Not good,Not good,Yes,Handled poorly,Possible,Low,Unknown,Middle-aged,Post graduate,1,1,<20,1,2
Commercial Airlines,Dissatisfied,Slightly better,Far from ideal,Very low,Somewhat well,Rarely,Moderate,Not well,Rarely,Below average,Not good,No,NoComp,Possible,Unknown,Low,Middle-aged,Post graduate,0,1,<20,1,2
Commercial Airlines,Satisfied,Exceeded expectations,Close to ideal,High,Very well,Often,High,Very well,Very often,Good,Good,No,NoComp,Likely,Medium,Unknown,Middle-aged,associate degree,0,1,<20,2,2
Commercial Airlines,Very satisfied,Far exceeded,Close to ideal,High,Well,Often,High,Well,Often,Very good,Very good,Yes,Handled excellently,Very likely,Medium,Unknown,Middle-aged,Post graduate,0,1,<20,2,1
Commercial Airlines,Satisfied,Exceeded expectations,Close to ideal,High,Well,Often,High,Well,Often,Good,Good,No,NoComp,Likely,Low,Unknown,Middle-aged,Post graduate,0,1,<20,1,2
Commercial Airlines,Unsure,Met expectations,Moderately close,High,Adequately,Sometimes,High,Adequately,Sometimes,Average,Average,No,NoComp,Possible,High,Unknown,Middle-aged,College graduate,1,1,<20,2,1
Commercial Airlines,Satisfied,Slightly better,Close to ideal,High,Well,Sometimes,High,Well,Sometimes,Good,Good,Yes,Handled poorly,Unlikely,Unknown,High,Middle-aged,High school,0,2,<20,1,2
Commercial Airlines,Satisfied,Met expectations,Close to ideal,High,Adequately,Sometimes,Moderate,Adequately,Often,Good,Good,No,NoComp,Possible,High,Unknown,Middle-aged,associate degree,1,1,<20,2,1
Commercial Airlines,Unsure,Slightly better,Somewhat close,High,Very well,Very rarely,High,Adequately,Rarely,Below average,Below average,Yes,Handled poorly,Very unlikely,Unknown,High,Young,Post graduate,0,1,<20,1,2
Commercial Airlines,Satisfied,Exceeded expectations,Moderately close,High,Well,Often,High,Well,Often,Good,Good,Yes,Handled poorly,Possible,High,Unknown,Senior,College graduate,0,1,<20,1,2
Commercial Airlines,Unsure,Met expectations,Somewhat close,Moderate,Very well,Sometimes,Moderate,Adequately,Sometimes,Average,Average,No,NoComp,Possible,Low,Unknown,Young,College graduate,0,1,<20,2,Unknown
Commercial Airlines,Unsure,Met expectations,Moderately close,Moderate,Well,Often,Moderate,Very well,Often,Below average,Average,No,NoComp,Possible,Unknown,High,Young,Post graduate,0,1,<20,2,1
Commercial Airlines,Satisfied,Met expectations,Close to ideal,High,Very well,Often,Moderate,Adequately,Often,Good,Average,No,NoComp,Possible,Medium,Unknown,Young,Post graduate,1,1,<20,2,1
Commercial Airlines,Unsure,Met expectations,Somewhat close,High,Well,Sometimes,High,Adequately,Sometimes,Average,Average,Yes,Handled adequately,Likely,Medium,Unknown,Young,College graduate,0,1,<20,2,1
Commercial Airlines,Very satisfied,Far exceeded,Very close to ideal,High,Very well,Sometimes,Very high,Very well,Very often,Good,Very good,No,NoComp,Very likely,High,Unknown,Young,College graduate,0,1,<20,2,3
Commercial Airlines,Unsure,Met expectations,Somewhat close,High,Adequately,Rarely,High,Adequately,Very rarely,Good,Good,No,NoComp,Unlikely,Unknown,High,Senior,associate degree,0,1,<20,1,2
Commercial Airlines,Dissatisfied,Met expectations,Somewhat close,High,Well,Often,High,Well,Often,Below average,Below average,No,NoComp,Possible,Unknown,High,Young,Post graduate,0,1,<20,1,2
Commercial Airlines,Satisfied,Exceeded expectations,Close to ideal,Very high,Well,Rarely,High,Adequately,Often,Good,Good,No,NoComp,Likely,High,Unknown,Young,College graduate,0,4,<20,2,2
Commercial Airlines,Unsure,Met expectations,Moderately close,Moderate,Adequately,Often,Moderate,Well,Sometimes,Good,Average,No,NoComp,Possible,Unknown,High,Middle-aged,associate degree,0,1,<20,1,2
Commercial Airlines,Satisfied,Exceeded expectations,Close to ideal,Low,Well,Sometimes,Moderate,Adequately,Often,Good,Good,No,NoComp,Likely,Low,Unknown,Young,Post graduate,0,1,<20,1,3
Commercial Airlines,Satisfied,Exceeded expectations,Somewhat close,High,Very well,Rarely,Very high,Very well,Very often,Good,Good,No,NoComp,Likely,Medium,Unknown,Young,College graduate,0,1,<20,2,1
Commercial Airlines,Satisfied,Exceeded expectations,Moderately close,Very high,Well,Sometimes,High,Well,Sometimes,Average,Average,No,NoComp,Likely,Medium,Unknown,Middle-aged,High school,0,1,<20,1,2
Commercial Airlines,Satisfied,Exceeded expectations,Close to ideal,Very high,Well,Often,Very high,Very well,Often,Good,Good,No,NoComp,Very likely,Medium,Unknown,Middle-aged,High school,0,1,<20,1,2
Commercial Airlines,Satisfied,Exceeded expectations,Close to ideal,High,Very well,Very often,High,Well,Very often,Good,Good,No,NoComp,Very likely,Medium,Unknown,Young,Post graduate,1,1,<20,2,3
Commercial Airlines,Satisfied,Exceeded expectations,Very close to ideal,Moderate,Well,Very often,High,Well,Very often,Good,Very good,No,NoComp,Very likely,High,Unknown,Senior,associate degree,0,1,<20,1,2
Commercial Airlines,Satisfied,Exceeded expectations,Close to ideal,Very high,Very well,Very often,High,Well,Very often,Good,Good,No,NoComp,Likely,High,Unknown,Middle-aged,associate degree,0,1,<20,2,3
Commercial Airlines,Unsure,Slightly better,Somewhat close,High,Well,Often,High,Adequately,Often,Average,Average,No,NoComp,Unlikely,Unknown,Medium,Middle-aged,associate degree,0,1,<20,1,2
Commercial Airlines,Satisfied,Exceeded expectations,Close to ideal,High,Well,Often,High,Well,Often,Good,Good,No,NoComp,Likely,Low,Unknown,Young,College graduate,0,1,<20,1,2
Commercial Airlines,Unsure,Met expectations,Close to ideal,High,Well,Very rarely,Moderate,Well,Rarely,Average,Good,Yes,Handled poorly,Possible,Medium,Unknown,Middle-aged,College graduate,0,1,<20,1,2
Commercial Airlines,Satisfied,Met expectations,Close to ideal,High,Well,Often,High,Well,Often,Average,Good,No,NoComp,Very likely,Low,Unknown,Young,Post graduate,0,1,<20,1,2
Commercial Airlines,Satisfied,Met expectations,Moderately close,High,Well,Often,High,Well,Often,Good,Good,No,NoComp,Likely,High,Unknown,Middle-aged,Post graduate,0,1,<20,2,2
Commercial Airlines,Satisfied,Exceeded expectations,Close to ideal,High,Well,Often,Very high,Very well,Very often,Good,Good,No,NoComp,Likely,Medium,Unknown,Young,Post graduate,0,1,<20,2,2
Commercial Airlines,Satisfied,Exceeded expectations,Moderately close,High,Adequately,Sometimes,Moderate,Well,Often,Average,Average,No,NoComp,Possible,Low,Unknown,Middle-aged,College graduate,0,1,<20,1,2
Commercial Airlines,Satisfied,Met expectations,Close to ideal,High,Very well,Often,Very high,Well,Often,Very good,Very good,No,NoComp,Very likely,High,Unknown,Middle-aged,associate degree,0,1,<20,1,1
Commercial Airlines,Very satisfied,Exceeded expectations,Close to ideal,High,Very well,Often,High,Well,Often,Good,Good,No,NoComp,Very likely,Medium,Unknown,Young,Post graduate,0,1,<20,1,1
Commercial Airlines,Satisfied,Exceeded expectations,Close to ideal,High,Well,Rarely,High,Well,Very rarely,Good,Good,No,NoComp,Likely,Low,Unknown,Young,College graduate,0,4,<20,1,2
Commercial Airlines,Satisfied,Exceeded expectations,Close to ideal,High,Well,Very often,High,Well,Very often,Good,Good,No,NoComp,Likely,Medium,Unknown,Senior,associate degree,0,1,<20,1,1
Commercial Airlines,Unsure,Met expectations,Moderately close,High,Adequately,Rarely,High,Adequately,Sometimes,Good,Good,No,NoComp,Very likely,Low,Unknown,Senior,Post graduate,0,1,<20,1,2
Commercial Airlines,Unsure,Met expectations,Somewhat close,High,Well,Often,High,Adequately,Sometimes,Below average,Average,Yes,Somewhat poorly,Possible,Unknown,High,Young,associate degree,0,1,<20,1,1
Commercial Airlines,Satisfied,Met expectations,Close to ideal,High,Well,Often,High,Well,Very often,Good,Good,Yes,Handled adequately,Very likely,Medium,Unknown,Middle-aged,associate degree,0,1,<20,1,Unknown
Commercial Airlines,Unsure,Met expectations,Close to ideal,Very high,Well,Often,High,Well,Often,Very good,Good,No,NoComp,Likely,High,Unknown,Young,College graduate,0,1,<20,1,1
Commercial Airlines,Very satisfied,Far exceeded,Moderately close,High,Well,Rarely,High,Well,Very often,Good,Good,No,NoComp,Very likely,Medium,Unknown,Young,College graduate,0,1,<20,2,3
Commercial Airlines,Satisfied,Met expectations,Moderately close,High,Well,Rarely,Moderate,Adequately,Sometimes,Good,Good,Yes,Handled adequately,Likely,Low,Unknown,Young,College graduate,0,1,<20,1,1
Commercial Airlines,Very satisfied,Exceeded expectations,Very close to ideal,Very high,Well,Often,Very high,Well,Often,Good,Very good,No,NoComp,Very likely,Medium,Unknown,Young,Post graduate,0,2,<20,2,1
Commercial Airlines,Satisfied,Exceeded expectations,Very close to ideal,Very high,Very well,Often,Very high,Very well,Often,Average,Very good,Yes,Handled well,Very likely,Medium,Unknown,Young,Post graduate,0,1,<20,2,2
Commercial Airlines,Very satisfied,Met expectations,Very close to ideal,Moderate,Well,Often,Very high,Very well,Sometimes,Good,Very good,Yes,Handled excellently,Very likely,Medium,Unknown,Middle-aged,College graduate,0,1,<20,2,3
Commercial Airlines,Very satisfied,Exceeded expectations,Close to ideal,Very high,Very well,Rarely,Very high,Very well,Rarely,Very good,Very good,No,NoComp,Very likely,Medium,Unknown,Middle-aged,Post graduate,0,1,<20,1,3
Commercial Airlines,Very satisfied,Far exceeded,Very close to ideal,Very high,Very well,Very often,Very high,Very well,Very often,Very good,Very good,No,NoComp,Likely,High,Unknown,Middle-aged,Post graduate,1,1,<20,1,2
Commercial Airlines,Very satisfied,Far exceeded,Very close to ideal,Very high,Very well,Very often,Very high,Very well,Very often,Good,Very good,No,NoComp,Very likely,Low,Unknown,Middle-aged,Post graduate,0,6,<20,1,2
Commercial Airlines,Very satisfied,Exceeded expectations,Close to ideal,High,Very well,Often,Very high,Well,Very often,Average,Good,No,NoComp,Very likely,Medium,Unknown,Senior,College graduate,0,1,<20,1,2
Commercial Airlines,Satisfied,Exceeded expectations,Close to ideal,Very high,Very well,Very often,Very high,Very well,Very often,Good,Good,No,NoComp,Very likely,Medium,Unknown,Senior,College graduate,0,1,<20,2,2
Commercial Airlines,Satisfied,Exceeded expectations,Close to ideal,Very high,Very well,Rarely,Very high,Well,Sometimes,Good,Good,No,NoComp,Very likely,Low,Unknown,Young,College graduate,0,1,<20,2,2
Commercial Airlines,Very satisfied,Met expectations,Close to ideal,Very high,Very well,Very often,Very high,Very well,Very often,Good,Good,No,NoComp,Likely,Low,Unknown,Middle-aged,Post graduate,0,1,<20,1,2
Commercial Airlines,Satisfied,Exceeded expectations,Close to ideal,High,Well,Very rarely,High,Well,Often,Good,Good,No,NoComp,Likely,Medium,Unknown,Young,College graduate,0,1,<20,1,1
Commercial Airlines,Very satisfied,Exceeded expectations,Close to ideal,Very high,Very well,Very often,Very high,Very well,Very often,Good,Very good,No,NoComp,Very likely,Low,Unknown,Senior,College graduate,0,1,<20,2,2
Commercial Airlines,Very satisfied,Met expectations,Moderately close,Very high,Well,Very often,High,Well,Often,Good,Good,No,NoComp,Very likely,High,Unknown,Young,College graduate,0,4,<20,2,2
Commercial Airlines,Satisfied,Far exceeded,Close to ideal,High,Well,Very often,Very high,Very well,Very often,Very good,Good,No,NoComp,Very likely,Medium,Unknown,Senior,College graduate,0,1,<20,1,2
Commercial Airlines,Unsure,Slightly better,Far from ideal,Moderate,Well,Rarely,Moderate,Well,Often,Average,Below average,No,NoComp,Likely,Medium,Unknown,Senior,Post graduate,0,1,<20,2,2
Commercial Airlines,Satisfied,Exceeded expectations,Close to ideal,High,Well,Often,High,Well,Often,Good,Good,No,NoComp,Very likely,High,Unknown,Middle-aged,Post graduate,0,1,<20,1,2
Commercial Airlines,Very satisfied,Far exceeded,Very close to ideal,Very high,Very well,Rarely,Very high,Well,Very often,Very good,Very good,Yes,Handled adequately,Likely,High,Unknown,Young,High school,0,1,<20,1,2
Commercial Airlines,Satisfied,Far exceeded,Very close to ideal,Very high,Very well,Very often,Very high,Very well,Very often,Good,Very good,No,NoComp,Very likely,Medium,Unknown,Middle-aged,College graduate,1,1,<20,2,1
Commercial Airlines,Dissatisfied,Below expectations,Far from ideal,Moderate,Well,Sometimes,Low,Not well,Rarely,Not good,Below average,Yes,Handled poorly,Very unlikely,Unknown,High,Young,College graduate,0,1,<20,2,2
Commercial Airlines,Very satisfied,Exceeded expectations,Close to ideal,High,Well,Often,Very high,Very well,Often,Very good,Good,No,NoComp,Very likely,Medium,Unknown,Middle-aged,Post graduate,0,1,<20,1,3
Commercial Airlines,Satisfied,Below expectations,Very close to ideal,Very high,Very well,Sometimes,High,Very well,Sometimes,Very good,Good,No,NoComp,Very likely,Low,Unknown,Young,College graduate,0,1,<20,2,2
Commercial Airlines,Very satisfied,Met expectations,Close to ideal,Very high,Very well,Very often,Very high,Very well,Very often,Very good,Very good,No,NoComp,Very unlikely,Unknown,Low,Senior,associate degree,0,1,<20,1,3
Commercial Airlines,Satisfied,Far exceeded,Moderately close,Very high,Very well,Very often,High,Well,Often,Very good,Good,No,NoComp,Likely,High,Unknown,Young,College graduate,0,4,<20,1,2
Commercial Airlines,Very satisfied,Far exceeded,Very close to ideal,Very high,Very well,Very often,Very high,Very well,Very often,Very good,Very good,No,NoComp,Very likely,High,Unknown,Young,Post graduate,1,1,<20,1,1
Commercial Airlines,Very satisfied,Met expectations,Very close to ideal,Very high,Well,Very often,Very high,Very well,Very often,Very good,Very good,No,NoComp,Likely,Medium,Unknown,Young,College graduate,0,1,<20,1,1
Commercial Airlines,Satisfied,Slightly better,Moderately close,High,Well,Often,High,Well,Rarely,Very good,Good,No,NoComp,Very likely,High,Unknown,Senior,College graduate,0,1,<20,1,2
Commercial Airlines,Very satisfied,Far exceeded,Very close to ideal,Very high,Very well,Very often,Very high,Very well,Very often,Very good,Very good,No,NoComp,Very likely,High,Unknown,Senior,Post graduate,0,1,<20,1,2
Commercial Airlines,Very satisfied,Far exceeded,Very close to ideal,Very high,Very well,Sometimes,Very high,Very well,Very often,Very good,Very good,No,NoComp,Very likely,High,Unknown,Middle-aged,College graduate,1,1,<20,2,2
Commercial Airlines,Satisfied,Far exceeded,Close to ideal,Very high,Very well,Rarely,Very high,Very well,Very often,Good,Good,No,NoComp,Likely,Medium,Unknown,Young,associate degree,1,6,<20,1,1
Commercial Airlines,Very satisfied,Far exceeded,Very close to ideal,Very high,Very well,Often,Very high,Very well,Very often,Very good,Very good,Yes,Handled well,Very likely,High,Unknown,Senior,Post graduate,0,1,<20,1,2
Commercial Airlines,Very satisfied,Far exceeded,Very close to ideal,Very high,Very well,Very often,Very high,Very well,Very often,Very good,Very good,No,NoComp,Very likely,Medium,Unknown,Middle-aged,College graduate,1,1,<20,2,2
Commercial Airlines,Very satisfied,Far exceeded,Very close to ideal,Very high,Very well,Very often,Very high,Very well,Very often,Good,Very good,No,NoComp,Very likely,High,Unknown,Middle-aged,College graduate,0,1,<20,2,2
Commercial Airlines,Satisfied,Met expectations,Moderately close,High,Very well,Very often,High,Very well,Very often,Good,Very good,No,NoComp,Very likely,Medium,Unknown,Middle-aged,Post graduate,0,1,<20,1,1
Commercial Airlines,Very satisfied,Far exceeded,Very close to ideal,Very high,Very well,Very often,Very high,Very well,Very often,Very good,Very good,No,NoComp,Very likely,Medium,Unknown,Middle-aged,College graduate,0,1,<20,2,2
Commercial Airlines,Very satisfied,Far exceeded,Very close to ideal,Very high,Very well,Very often,Very high,Very well,Very often,Very good,Very good,No,NoComp,Very likely,Medium,Unknown,Young,associate degree,0,1,<20,1,3
Commercial Airlines,Very satisfied,Exceeded expectations,Somewhat close,High,Well,Very often,High,Well,Very often,Very good,Very good,No,NoComp,Very likely,High,Unknown,Young,College graduate,0,1,<20,1,2
Commercial Airlines,Satisfied,Exceeded expectations,Close to ideal,High,Well,Very often,High,Well,Very often,Average,Good,No,NoComp,Very likely,High,Unknown,Senior,associate degree,0,1,<20,1,Unknown
Commercial Airlines,Very satisfied,Far exceeded,Very close to ideal,Very high,Very well,Very often,Very high,Very well,Very often,Very good,Very good,Yes,Handled excellently,Very likely,Medium,Unknown,Young,College graduate,0,4,<20,2,1
Commercial Airlines,Very satisfied,Far exceeded,Moderately close,Very high,Very well,Very often,Very high,Very well,Very often,Very good,Very good,No,NoComp,Very likely,High,Unknown,Young,associate degree,1,1,<20,2,2
Commercial Airlines,Satisfied,Met expectations,Moderately close,High,Well,Sometimes,High,Well,Rarely,Average,Good,No,NoComp,Likely,Low,Unknown,Senior,College graduate,0,1,<20,2,2
Commercial Airlines,Very satisfied,Far exceeded,Very close to ideal,Very high,Very well,Very often,Very high,Very well,Very often,Very good,Very good,No,NoComp,Very likely,High,Unknown,Young,associate degree,0,1,<20,1,2
Commercial Airlines,Satisfied,Exceeded expectations,Very close to ideal,High,Very well,Often,High,Very well,Very often,Average,Average,No,NoComp,Very likely,Low,Unknown,Young,associate degree,0,1,<20,2,3
Commercial Airlines,Satisfied,Met expectations,Close to ideal,High,Well,Rarely,High,Well,Very often,Good,Good,No,NoComp,Likely,Medium,Unknown,Senior,College graduate,0,1,<20,2,3
Commercial Airlines,Satisfied,Exceeded expectations,Somewhat close,Moderate,Well,Very often,High,Somewhat well,Often,Average,Average,No,NoComp,Possible,Unknown,Low,Middle-aged,associate degree,0,1,<20,2,3
Commercial Airlines,Unsure,Slightly better,Far from ideal,Low,Somewhat well,Very often,Moderate,Adequately,Very often,Average,Average,No,NoComp,Very likely,Low,Unknown,Senior,College graduate,0,1,<20,1,2
Commercial Airlines,Very satisfied,Exceeded expectations,Close to ideal,Very high,Very well,Very often,Very high,Very well,Very often,Good,Good,No,NoComp,Very likely,Medium,Unknown,Senior,Post graduate,0,1,<20,1,2
Commercial Airlines,Dissatisfied,Met expectations,Moderately close,Moderate,Well,Often,Very high,Not well,Very often,Below average,Not good,No,NoComp,Very likely,High,Unknown,Middle-aged,College graduate,1,1,<20,2,2
Commercial Airlines,Very satisfied,Far exceeded,Very close to ideal,Very high,Very well,Very often,High,Very well,Very often,Very good,Very good,No,NoComp,Very likely,Medium,Unknown,Young,College graduate,0,2,<20,1,1
Commercial Airlines,Satisfied,Exceeded expectations,Close to ideal,Very high,Well,Very often,High,Very well,Often,Very good,Good,No,NoComp,Very likely,High,Unknown,Young,Post graduate,0,2,<20,1,1
Commercial Airlines,Satisfied,Exceeded expectations,Moderately close,High,Very well,Often,High,Very well,Very often,Below average,Good,No,NoComp,Likely,Medium,Unknown,Young,associate degree,0,1,<20,2,2
Commercial Airlines,Satisfied,Exceeded expectations,Close to ideal,High,Very well,Very often,Very high,Very well,Very often,Good,Good,No,NoComp,Likely,Medium,Unknown,Young,associate degree,0,2,<20,1,2
Commercial Airlines,Satisfied,Exceeded expectations,Moderately close,Moderate,Well,Sometimes,High,Well,Very often,Average,Average,No,NoComp,Likely,Medium,Unknown,Young,associate degree,0,1,<20,2,3
Commercial Airlines,Satisfied,Exceeded expectations,Close to ideal,High,Well,Rarely,High,Well,Often,Good,Good,No,NoComp,Likely,High,Unknown,Young,associate degree,1,1,<20,2,2
Commercial Airlines,Very satisfied,Far exceeded,Close to ideal,Very high,Well,Very often,Very high,Very well,Very often,Very good,Very good,No,NoComp,Very likely,High,Unknown,Young,College graduate,0,1,<20,2,1
Commercial Airlines,Very satisfied,Far exceeded,Close to ideal,Very high,Very well,Sometimes,Very high,Very well,Often,Very good,Good,No,NoComp,Very likely,Low,Unknown,Young,High school,0,1,<20,2,2
Commercial Airlines,Very satisfied,Exceeded expectations,Close to ideal,High,Well,Sometimes,High,Well,Very often,Good,Good,No,NoComp,Very likely,High,Unknown,Young,College graduate,1,6,<20,1,2
Commercial Airlines,Satisfied,Far exceeded,Close to ideal,High,Very well,Very often,High,Very well,Very often,Good,Good,No,NoComp,Likely,Medium,Unknown,Young,associate degree,0,1,<20,2,2
Commercial Airlines,Very satisfied,Far exceeded,Very close to ideal,Very high,Very well,Very often,Very high,Very well,Very often,Average,Good,No,NoComp,Very likely,High,Unknown,Middle-aged,associate degree,0,2,<20,1,Unknown
Commercial Airlines,Satisfied,Exceeded expectations,Close to ideal,Moderate,Adequately,Often,High,Adequately,Sometimes,Good,Good,No,NoComp,Very likely,High,Unknown,Middle-aged,College graduate,0,2,<20,2,1
Commercial Airlines,Satisfied,Exceeded expectations,Close to ideal,High,Well,Often,High,Well,Often,Good,Good,No,NoComp,Likely,Low,Unknown,Young,College graduate,0,1,<20,1,2
Commercial Airlines,Satisfied,Exceeded expectations,Close to ideal,Moderate,Well,Often,Very high,Well,Rarely,Good,Good,No,NoComp,Likely,Medium,Unknown,Young,associate degree,1,1,<20,2,2
Commercial Airlines,Very satisfied,Exceeded expectations,Close to ideal,Very high,Well,Sometimes,Very high,Well,Often,Good,Very good,No,NoComp,Very likely,High,Unknown,Young,associate degree,1,1,<20,2,2
Commercial Airlines,Satisfied,Exceeded expectations,Close to ideal,High,Well,Often,High,Well,Often,Good,Good,No,NoComp,Likely,Medium,Unknown,Middle-aged,College graduate,0,1,<20,1,1
Commercial Airlines,Satisfied,Met expectations,Moderately close,High,Well,Sometimes,High,Adequately,Sometimes,Average,Average,No,NoComp,Likely,Low,Unknown,Young,Post graduate,0,2,<20,1,2
Commercial Airlines,Satisfied,Met expectations,Moderately close,Very high,Very well,Very often,Very high,Well,Sometimes,Very good,Good,No,NoComp,Possible,Low,Unknown,Young,associate degree,0,1,<20,2,2
Commercial Airlines,Very satisfied,Far exceeded,Close to ideal,Very high,Very well,Very often,High,Well,Often,Very good,Very good,No,NoComp,Very likely,High,Unknown,Young,High school,1,1,<20,1,1
Commercial Airlines,Very satisfied,Exceeded expectations,Close to ideal,High,Well,Rarely,Very high,Well,Very often,Very good,Very good,No,NoComp,Likely,High,Unknown,Senior,High school,0,2,<20,2,2
Commercial Airlines,Very dissatisfied,Slightly better,Far from ideal,Low,Somewhat well,Sometimes,Very low,Not well,Often,Below average,Average,No,NoComp,Very unlikely,Unknown,High,Young,College graduate,0,1,<20,2,2
Commercial Airlines,Satisfied,Met expectations,Close to ideal,High,Very well,Often,Very high,Well,Sometimes,Average,Average,No,NoComp,Likely,Medium,Unknown,Middle-aged,associate degree,0,1,<20,2,3
