INDUSTRY,SATIS,CONFIRM,IDEAL,OVERALLX,CUSTOMX,WRONGX,OVERALLQ,CUSTOMQ,WRONGQ,PQ,QP,COMP,HANDLE,REPUR,HIGHPTOL,LOWPTOL,AGE,EDUCAT,HISPANIC,RACE_1,INCOME,GENDER,ZIPCODE
Commercial Airlines,High,High,High,Very high,Well,High,Very high,Very well,High,High,High,No,Unknown,High,Medium,Unknown,Middle-aged,Low,0,1,<20,1,2
Commercial Airlines,High,High,High,High,Very well,High,High,Well,High,High,High,No,Unknown,High,Medium,Unknown,Young,High,1,1,<20,2,3
Commercial Airlines,High,High,High,Moderate,Well,High,High,Well,High,High,High,No,Unknown,High,High,Unknown,Senior,Medium,0,1,<20,1,2
Commercial Airlines,High,High,High,Very high,Very well,High,High,Well,High,High,High,No,Unknown,High,High,Unknown,Middle-aged,Medium,0,1,<20,2,3
Commercial Airlines,Medium,Low,Low,High,Well,High,High,Adequately,High,Medium,Medium,No,Unknown,Low,Unknown,Medium,Middle-aged,Medium,0,1,<20,1,2
Commercial Airlines,High,High,High,High,Well,High,High,Well,High,High,High,No,Unknown,High,Low,Unknown,Young,Medium,0,1,<20,1,2
Commercial Airlines,Medium,Medium,High,High,Well,Low,Moderate,Well,Low,Medium,High,Yes,Low,Medium,Medium,Unknown,Middle-aged,Medium,0,1,<20,1,2
Commercial Airlines,High,Medium,High,High,Well,High,High,Well,High,Medium,High,No,Unknown,High,Low,Unknown,Young,High,0,1,<20,1,2
Commercial Airlines,High,Medium,Medium,High,Well,High,High,Well,High,High,High,No,Unknown,High,High,Unknown,Middle-aged,High,0,1,<20,2,2
Commercial Airlines,High,High,High,High,Well,High,Very high,Very well,High,High,High,No,Unknown,High,Medium,Unknown,Young,High,0,1,<20,2,2
Commercial Airlines,High,High,Medium,High,Adequately,Medium,Moderate,Well,High,Medium,Medium,No,Unknown,Medium,Low,Unknown,Middle-aged,Medium,0,1,<20,1,2
Commercial Airlines,High,Medium,High,High,Very well,High,Very high,Well,High,High,High,No,Unknown,High,High,Unknown,Middle-aged,Medium,0,1,<20,1,1
Commercial Airlines,High,High,High,High,Very well,High,High,Well,High,High,High,No,Unknown,High,Medium,Unknown,Young,High,0,1,<20,1,1
Commercial Airlines,High,High,High,High,Well,Low,High,Well,Low,High,High,No,Unknown,High,Low,Unknown,Young,Medium,0,4,<20,1,2
Commercial Airlines,High,High,High,High,Well,High,High,Well,High,High,High,No,Unknown,High,Medium,Unknown,Senior,Medium,0,1,<20,1,1
Commercial Airlines,Medium,Medium,Medium,High,Adequately,Low,High,Adequately,Medium,High,High,No,Unknown,High,Low,Unknown,Senior,High,0,1,<20,1,2
Commercial Airlines,Medium,Medium,Low,High,Well,High,High,Adequately,Medium,Low,Medium,Yes,Low,Medium,Unknown,High,Young,Medium,0,1,<20,1,1
Commercial Airlines,High,Medium,High,High,Well,High,High,Well,High,High,High,Yes,Medium,High,Medium,Unknown,Middle-aged,Medium,0,1,<20,1,Unknown
Commercial Airlines,Medium,Medium,High,Very high,Well,High,High,Well,High,High,High,No,Unknown,High,High,Unknown,Young,Medium,0,1,<20,1,1
Commercial Airlines,High,High,Medium,High,Well,Low,High,Well,High,High,High,No,Unknown,High,Medium,Unknown,Young,Medium,0,1,<20,2,3
Commercial Airlines,High,Medium,Medium,High,Well,Low,Moderate,Adequately,Medium,High,High,Yes,Medium,High,Low,Unknown,Young,Medium,0,1,<20,1,1
Commercial Airlines,High,High,High,Very high,Well,High,Very high,Well,High,High,High,No,Unknown,High,Medium,Unknown,Young,High,0,2,<20,2,1
Commercial Airlines,High,High,High,Very high,Very well,High,Very high,Very well,High,Medium,High,Yes,High,High,Medium,Unknown,Young,High,0,1,<20,2,2
Commercial Airlines,High,Medium,High,Moderate,Well,High,Very high,Very well,Medium,High,High,Yes,High,High,Medium,Unknown,Middle-aged,Medium,0,1,<20,2,3
Commercial Airlines,High,High,High,Very high,Very well,Low,Very high,Very well,Low,High,High,No,Unknown,High,Medium,Unknown,Middle-aged,High,0,1,<20,1,3
Commercial Airlines,High,High,High,Very high,Very well,High,Very high,Very well,High,High,High,No,Unknown,High,High,Unknown,Middle-aged,High,1,1,<20,1,2
Commercial Airlines,High,High,High,Very high,Very well,High,Very high,Very well,High,High,High,No,Unknown,High,Low,Unknown,Middle-aged,High,0,6,<20,1,2
Commercial Airlines,High,High,High,High,Very well,High,Very high,Well,High,Medium,High,No,Unknown,High,Medium,Unknown,Senior,Medium,0,1,<20,1,2
Commercial Airlines,High,High,High,Very high,Very well,High,Very high,Very well,High,High,High,No,Unknown,High,Medium,Unknown,Senior,Medium,0,1,<20,2,2
Commercial Airlines,High,High,High,Very high,Very well,Low,Very high,Well,Medium,High,High,No,Unknown,High,Low,Unknown,Young,Medium,0,1,<20,2,2
Commercial Airlines,High,Medium,High,Very high,Very well,High,Very high,Very well,High,High,High,No,Unknown,High,Low,Unknown,Middle-aged,High,0,1,<20,1,2
Commercial Airlines,High,High,High,High,Well,Low,High,Well,High,High,High,No,Unknown,High,Medium,Unknown,Young,Medium,0,1,<20,1,1
Commercial Airlines,High,High,High,Very high,Very well,High,Very high,Very well,High,High,High,No,Unknown,High,Low,Unknown,Senior,Medium,0,1,<20,2,2
Commercial Airlines,High,Medium,Medium,Very high,Well,High,High,Well,High,High,High,No,Unknown,High,High,Unknown,Young,Medium,0,4,<20,2,2
Commercial Airlines,High,High,High,High,Well,High,Very high,Very well,High,High,High,No,Unknown,High,Medium,Unknown,Senior,Medium,0,1,<20,1,2
Commercial Airlines,Medium,Low,Low,Moderate,Well,Low,Moderate,Well,High,Medium,Low,No,Unknown,High,Medium,Unknown,Senior,High,0,1,<20,2,2
Commercial Airlines,High,High,High,High,Well,High,High,Well,High,High,High,No,Unknown,High,High,Unknown,Middle-aged,High,0,1,<20,1,2
Commercial Airlines,High,High,High,Very high,Very well,Low,Very high,Well,High,High,High,Yes,Medium,High,High,Unknown,Young,Low,0,1,<20,1,2
Commercial Airlines,High,High,High,Very high,Very well,High,Very high,Very well,High,High,High,No,Unknown,High,Medium,Unknown,Middle-aged,Medium,1,1,<20,2,1
Commercial Airlines,Low,Low,Low,Moderate,Well,Medium,Low,Not well,Low,Low,Low,Yes,Low,Low,Unknown,High,Young,Medium,0,1,<20,2,2
Commercial Airlines,High,High,High,High,Well,High,Very high,Very well,High,High,High,No,Unknown,High,Medium,Unknown,Middle-aged,High,0,1,<20,1,3
Commercial Airlines,High,Low,High,Very high,Very well,Medium,High,Very well,Medium,High,High,No,Unknown,High,Low,Unknown,Young,Medium,0,1,<20,2,2
Commercial Airlines,High,Medium,High,Very high,Very well,High,Very high,Very well,High,High,High,No,Unknown,Low,Unknown,Low,Senior,Medium,0,1,<20,1,3
Commercial Airlines,High,High,Medium,Very high,Very well,High,High,Well,High,High,High,No,Unknown,High,High,Unknown,Young,Medium,0,4,<20,1,2
Commercial Airlines,High,High,High,Very high,Very well,High,Very high,Very well,High,High,High,No,Unknown,High,High,Unknown,Young,High,1,1,<20,1,1
Commercial Airlines,High,Medium,High,Very high,Well,High,Very high,Very well,High,High,High,No,Unknown,High,Medium,Unknown,Young,Medium,0,1,<20,1,1
Commercial Airlines,High,Low,Medium,High,Well,High,High,Well,Low,High,High,No,Unknown,High,High,Unknown,Senior,Medium,0,1,<20,1,2
Commercial Airlines,High,High,High,Very high,Very well,High,Very high,Very well,High,High,High,No,Unknown,High,High,Unknown,Senior,High,0,1,<20,1,2
Commercial Airlines,High,High,High,Very high,Very well,Medium,Very high,Very well,High,High,High,No,Unknown,High,High,Unknown,Middle-aged,Medium,1,1,<20,2,2
Commercial Airlines,High,High,High,Very high,Very well,Low,Very high,Very well,High,High,High,No,Unknown,High,Medium,Unknown,Young,Medium,1,6,<20,1,1
Commercial Airlines,High,High,High,Very high,Very well,High,Very high,Very well,High,High,High,Yes,High,High,High,Unknown,Senior,High,0,1,<20,1,2
Commercial Airlines,High,High,High,Very high,Very well,High,Very high,Very well,High,High,High,No,Unknown,High,Medium,Unknown,Middle-aged,Medium,1,1,<20,2,2
Commercial Airlines,High,High,High,Very high,Very well,High,Very high,Very well,High,High,High,No,Unknown,High,High,Unknown,Middle-aged,Medium,0,1,<20,2,2
Commercial Airlines,High,Medium,Medium,High,Very well,High,High,Very well,High,High,High,No,Unknown,High,Medium,Unknown,Middle-aged,High,0,1,<20,1,1
Commercial Airlines,High,High,High,Very high,Very well,High,Very high,Very well,High,High,High,No,Unknown,High,Medium,Unknown,Middle-aged,Medium,0,1,<20,2,2
Commercial Airlines,High,High,High,Very high,Very well,High,Very high,Very well,High,High,High,No,Unknown,High,Medium,Unknown,Young,Medium,0,1,<20,1,3
Commercial Airlines,High,High,Low,High,Well,High,High,Well,High,High,High,No,Unknown,High,High,Unknown,Young,Medium,0,1,<20,1,2
Commercial Airlines,High,High,High,High,Well,High,High,Well,High,Medium,High,No,Unknown,High,High,Unknown,Senior,Medium,0,1,<20,1,Unknown
Commercial Airlines,High,High,High,Very high,Very well,High,Very high,Very well,High,High,High,Yes,High,High,Medium,Unknown,Young,Medium,0,4,<20,2,1
Commercial Airlines,High,High,Medium,Very high,Very well,High,Very high,Very well,High,High,High,No,Unknown,High,High,Unknown,Young,Medium,1,1,<20,2,2
Commercial Airlines,High,Medium,Medium,High,Well,Medium,High,Well,Low,Medium,High,No,Unknown,High,Low,Unknown,Senior,Medium,0,1,<20,2,2
Commercial Airlines,High,High,High,Very high,Very well,High,Very high,Very well,High,High,High,No,Unknown,High,High,Unknown,Young,Medium,0,1,<20,1,2
Commercial Airlines,High,High,High,High,Very well,High,High,Very well,High,Medium,Medium,No,Unknown,High,Low,Unknown,Young,Medium,0,1,<20,2,3
Commercial Airlines,High,Medium,High,High,Well,Low,High,Well,High,High,High,No,Unknown,High,Medium,Unknown,Senior,Medium,0,1,<20,2,3
Commercial Airlines,High,High,Low,Moderate,Well,High,High,Somewhat well,High,Medium,Medium,No,Unknown,Medium,Unknown,Low,Middle-aged,Medium,0,1,<20,2,3
Commercial Airlines,Medium,Low,Low,Low,Somewhat well,High,Moderate,Adequately,High,Medium,Medium,No,Unknown,High,Low,Unknown,Senior,Medium,0,1,<20,1,2
Commercial Airlines,High,High,High,Very high,Very well,High,Very high,Very well,High,High,High,No,Unknown,High,Medium,Unknown,Senior,High,0,1,<20,1,2
Commercial Airlines,Low,Medium,Medium,Moderate,Well,High,Very high,Not well,High,Low,Low,No,Unknown,High,High,Unknown,Middle-aged,Medium,1,1,<20,2,2
Commercial Airlines,High,High,High,Very high,Very well,High,High,Very well,High,High,High,No,Unknown,High,Medium,Unknown,Young,Medium,0,2,<20,1,1
Commercial Airlines,High,High,High,Very high,Well,High,High,Very well,High,High,High,No,Unknown,High,High,Unknown,Young,High,0,2,<20,1,1
Commercial Airlines,High,High,Medium,High,Very well,High,High,Very well,High,Low,High,No,Unknown,High,Medium,Unknown,Young,Medium,0,1,<20,2,2
Commercial Airlines,High,High,High,High,Very well,High,Very high,Very well,High,High,High,No,Unknown,High,Medium,Unknown,Young,Medium,0,2,<20,1,2
Commercial Airlines,High,High,Medium,Moderate,Well,Medium,High,Well,High,Medium,Medium,No,Unknown,High,Medium,Unknown,Young,Medium,0,1,<20,2,3
Commercial Airlines,High,High,High,High,Well,Low,High,Well,High,High,High,No,Unknown,High,High,Unknown,Young,Medium,1,1,<20,2,2
Commercial Airlines,High,High,High,Very high,Well,High,Very high,Very well,High,High,High,No,Unknown,High,High,Unknown,Young,Medium,0,1,<20,2,1
Commercial Airlines,High,High,High,Very high,Very well,Medium,Very high,Very well,High,High,High,No,Unknown,High,Low,Unknown,Young,Low,0,1,<20,2,2
Commercial Airlines,High,High,High,High,Well,Medium,High,Well,High,High,High,No,Unknown,High,High,Unknown,Young,Medium,1,6,<20,1,2
Commercial Airlines,High,High,High,High,Very well,High,High,Very well,High,High,High,No,Unknown,High,Medium,Unknown,Young,Medium,0,1,<20,2,2
Commercial Airlines,High,High,High,Very high,Very well,High,Very high,Very well,High,Medium,High,No,Unknown,High,High,Unknown,Middle-aged,Medium,0,2,<20,1,Unknown
Commercial Airlines,High,High,High,Moderate,Adequately,High,High,Adequately,Medium,High,High,No,Unknown,High,High,Unknown,Middle-aged,Medium,0,2,<20,2,1
Commercial Airlines,High,High,High,High,Well,High,High,Well,High,High,High,No,Unknown,High,Low,Unknown,Young,Medium,0,1,<20,1,2
Commercial Airlines,High,High,High,Moderate,Well,High,Very high,Well,Low,High,High,No,Unknown,High,Medium,Unknown,Young,Medium,1,1,<20,2,2
Commercial Airlines,High,High,High,Very high,Well,Medium,Very high,Well,High,High,High,No,Unknown,High,High,Unknown,Young,Medium,1,1,<20,2,2
Commercial Airlines,High,High,High,High,Well,High,High,Well,High,High,High,No,Unknown,High,Medium,Unknown,Middle-aged,Medium,0,1,<20,1,1
Commercial Airlines,High,Medium,Medium,High,Well,Medium,High,Adequately,Medium,Medium,Medium,No,Unknown,High,Low,Unknown,Young,High,0,2,<20,1,2
Commercial Airlines,High,Medium,Medium,Very high,Very well,High,Very high,Well,Medium,High,High,No,Unknown,Medium,Low,Unknown,Young,Medium,0,1,<20,2,2
Commercial Airlines,High,High,High,Very high,Very well,High,High,Well,High,High,High,No,Unknown,High,High,Unknown,Young,Low,1,1,<20,1,1
Commercial Airlines,High,High,High,High,Well,Low,Very high,Well,High,High,High,No,Unknown,High,High,Unknown,Senior,Low,0,2,<20,2,2
Commercial Airlines,Low,Low,Low,Low,Somewhat well,Medium,Very low,Not well,High,Low,Medium,No,Unknown,Low,Unknown,High,Young,Medium,0,1,<20,2,2
Commercial Airlines,High,Medium,High,High,Very well,High,Very high,Well,Medium,Medium,Medium,No,Unknown,High,Medium,Unknown,Middle-aged,Medium,0,1,<20,2,3
Commercial Airlines,High,High,High,Very high,Very well,High,Very high,Very well,High,High,High,No,Unknown,High,Medium,Unknown,Young,Medium,0,1,<20,2,2
Commercial Airlines,High,Low,High,Very high,Very well,Low,Very high,Very well,Low,High,High,No,Unknown,High,Low,Unknown,Middle-aged,Medium,0,1,<20,1,2
Commercial Airlines,High,High,High,High,Very well,High,Very high,Very well,High,Medium,Medium,No,Unknown,High,High,Unknown,Senior,Medium,0,1,<20,2,2
Commercial Airlines,Low,Medium,Low,Low,Well,High,Moderate,Well,High,Medium,Medium,No,Unknown,Medium,Low,Unknown,Young,High,0,2,<20,2,3
Commercial Airlines,Low,Low,Low,High,Well,Low,Very low,Not well,Low,Low,Low,No,Unknown,Low,Unknown,High,Middle-aged,Medium,0,1,<20,1,2
Commercial Airlines,High,Medium,High,High,Well,High,Very high,Very well,High,High,Medium,No,Unknown,Medium,Unknown,High,Young,Medium,0,1,<20,2,1
Commercial Airlines,Medium,Low,Low,High,Adequately,Low,High,Somewhat well,Low,Medium,Medium,No,Unknown,Medium,High,Unknown,Senior,Medium,1,1,<20,2,1
Commercial Airlines,Medium,Medium,Medium,High,Well,High,Moderate,Well,Medium,High,High,No,Unknown,Medium,Low,Unknown,Elderly,Low,0,4,<20,2,1
Commercial Airlines,High,High,High,High,Very well,High,Very high,Well,High,High,High,No,Unknown,High,High,Unknown,Young,High,1,1,<20,1,1
Commercial Airlines,High,High,High,Very high,Well,High,Very high,Well,High,High,High,No,Unknown,High,Medium,Unknown,Young,Medium,1,3,<20,2,3
Commercial Airlines,Medium,Medium,Low,Moderate,Well,Medium,Moderate,Adequately,Medium,Medium,Medium,No,Unknown,Medium,Medium,Unknown,Young,Low,1,1,<20,1,2
Commercial Airlines,High,Medium,High,High,Very well,High,Very high,Very well,High,High,High,No,Unknown,High,Medium,Unknown,Senior,Medium,0,1,<20,1,2
Commercial Airlines,High,High,High,Very high,Very well,Low,Very high,Very well,High,High,High,No,Unknown,High,Medium,Unknown,Young,High,0,1,<20,2,2
Commercial Airlines,High,Medium,Medium,High,Very well,High,High,Adequately,Medium,High,High,No,Unknown,High,Low,Unknown,Young,Medium,0,1,<20,1,2
Commercial Airlines,High,High,High,High,Well,High,High,Well,High,High,High,No,Unknown,High,Low,Unknown,Young,Medium,0,1,<20,2,3
Commercial Airlines,High,High,High,Very high,Very well,High,Very high,Very well,High,High,High,No,Unknown,High,Medium,Unknown,Senior,High,0,1,<20,2,2
Commercial Airlines,Low,Low,Low,Low,Somewhat well,Low,Very low,Not well,Low,Low,Low,Yes,Low,Low,Unknown,High,Senior,High,0,1,<20,1,2
Commercial Airlines,High,Medium,High,High,Well,Medium,Moderate,Well,Medium,High,High,No,Unknown,High,Low,Unknown,Middle-aged,Medium,0,1,<20,2,3
Commercial Airlines,High,High,High,High,Well,High,Very high,Adequately,High,High,High,No,Unknown,Medium,Unknown,High,Senior,Medium,0,1,<20,1,2
Commercial Airlines,High,High,High,Very high,Not well,Low,Very high,Very well,High,High,High,No,Unknown,Low,Unknown,High,Senior,Low,0,6,<20,1,2
Commercial Airlines,High,High,High,High,Adequately,Low,High,Adequately,Medium,Medium,High,No,Unknown,High,Medium,Unknown,Young,High,0,1,<20,2,2
Commercial Airlines,High,Medium,Medium,High,Adequately,High,High,Adequately,Medium,High,Medium,No,Unknown,High,Medium,Unknown,Young,Medium,0,1,<20,2,2
Commercial Airlines,High,Medium,Medium,High,Well,High,High,Well,High,Low,Medium,No,Unknown,High,Low,Unknown,Senior,High,0,1,<20,2,3
Commercial Airlines,Medium,Medium,Medium,Moderate,Adequately,High,Moderate,Adequately,High,Medium,Medium,No,Unknown,Medium,Low,Unknown,Senior,High,0,1,<20,2,2
Commercial Airlines,High,High,High,Very high,Well,High,Very high,Very well,High,High,High,No,Unknown,High,High,Unknown,Young,Medium,0,6,<20,2,1
Commercial Airlines,High,High,High,Very high,Very well,High,Very high,Very well,High,High,High,No,Unknown,High,High,Unknown,Young,Medium,1,2,<20,2,3
Commercial Airlines,High,Medium,High,Very high,Very well,High,Moderate,Very well,Medium,High,High,No,Unknown,High,High,Unknown,Young,High,1,1,<20,1,1
Commercial Airlines,High,High,High,High,Very well,High,Very high,Very well,High,High,High,No,Unknown,High,High,Unknown,Middle-aged,Low,0,1,<20,1,2
Commercial Airlines,Medium,Medium,Medium,High,Adequately,High,High,Adequately,Medium,Medium,Medium,No,Unknown,High,Low,Unknown,Senior,Medium,0,1,<20,1,2
Commercial Airlines,High,Medium,High,High,Well,High,High,Well,High,Medium,High,No,Unknown,High,Medium,Unknown,Senior,Medium,0,1,<20,2,2
Commercial Airlines,High,Medium,Medium,High,Well,High,High,Well,High,High,High,No,Unknown,High,High,Unknown,Senior,Low,0,1,<20,1,2
Commercial Airlines,High,High,High,High,Well,High,Very high,Well,High,High,High,No,Unknown,High,High,Unknown,Young,High,0,1,<20,2,1
Commercial Airlines,Medium,Medium,Medium,Moderate,Adequately,Medium,Moderate,Adequately,Medium,Medium,Medium,No,Unknown,Medium,Medium,Unknown,Middle-aged,High,0,1,<20,1,2
Commercial Airlines,High,High,High,Very high,Very well,High,Very high,Very well,High,High,High,No,Unknown,High,High,Unknown,Middle-aged,High,0,1,<20,2,3
Commercial Airlines,Medium,Medium,Medium,Moderate,Adequately,Medium,Moderate,Adequately,Medium,Medium,Medium,No,Unknown,Low,Unknown,High,Young,Medium,0,4,<20,1,Unknown
Commercial Airlines,High,High,High,Very high,Very well,High,Very high,Very well,High,High,High,No,Unknown,High,High,Unknown,Senior,Low,0,1,<20,2,1
Commercial Airlines,High,High,High,Very low,Adequately,Low,High,Very well,High,High,High,No,Unknown,High,Low,Unknown,Middle-aged,Medium,0,1,<20,2,2
Commercial Airlines,Medium,Medium,Low,High,Well,Medium,Moderate,Adequately,Medium,Low,High,No,Unknown,High,High,Unknown,Young,Medium,0,1,<20,2,2
Commercial Airlines,High,High,Medium,High,Well,Medium,High,Well,Medium,Medium,High,No,Unknown,Medium,Unknown,High,Young,Medium,0,1,<20,1,2
Commercial Airlines,High,Medium,High,Very high,Very well,Low,Very high,Adequately,Low,High,High,No,Unknown,High,Medium,Unknown,Middle-aged,Medium,0,1,<20,1,2
Commercial Airlines,High,High,High,High,Well,Medium,High,Well,High,High,High,No,Unknown,High,Low,Unknown,Young,High,0,4,<20,2,1
